component,attribute,region,investment_period,unit,conversion_commodity,values
battery_LIIon,chargeEfficiency,example,example,XX,,0.96
battery_LIIon,dischargeEfficiency,example,example,XX,,0.96
battery_LIIon,cyclicLifetime,example,example,XX,,10000
battery_LIIon,selfDischarge,example,example,XX,,4.23E-05
battery_LIIon,chargeRate,example,example,XX,,1
battery_LIIon,dischargeRate,example,example,XX,,1
battery_LIIon,stateOfChargeMin,example,example,XX,,0
battery_LIIon,stateOfChargeMax,example,example,XX,,1
battery_LIIon,investPerCapacity,example,2020,XX,,0.31149967
battery_LIIon,investPerCapacity,example,2030,XX,,0.175113328
battery_LIIon,investPerCapacity,example,2040,XX,,0.153224162
battery_LIIon,investPerCapacity,example,2050,XX,,0.131334996
battery_LIIon,opexFix,example,example,XX,,0.025
battery_LIIon,opexPerChargeOperation,example,example,XX,,5.00E-05
battery_LIIon,opexPerDischargeOperation,example,example,XX,,5.00E-05
battery_LIIon,interestRate,example,example,XX,,0.08
battery_LIIon,economicLifetime,world,constant,XX,,15
battery_LIIon,commodity,world,constant,XX,,electricity
battery_LIIon,citation,example,example,XX,,Stolten et. al:
ccgt_hydrogenGas,physicalUnit,world,constant,XX,,GW$_{el}$
ccgt_hydrogenGas,commodityConversionFactors,example,example,XX,electricity,1
ccgt_hydrogenGas,commodityConversionFactors,example,example,XX,hydrogen_gas,-1.6667
ccgt_hydrogenGas,investPerCapacity,example,2020,XX,,0.76
ccgt_hydrogenGas,investPerCapacity,example,2030,XX,,0.76
ccgt_hydrogenGas,investPerCapacity,example,2040,XX,,0.76
ccgt_hydrogenGas,investPerCapacity,example,2050,XX,,0.76
ccgt_hydrogenGas,opexFix,example,example,XX,,0.014
ccgt_hydrogenGas,opexPerOperation,example,example,XX,,0
ccgt_hydrogenGas,interestRate,example,example,XX,,0.08
ccgt_hydrogenGas,economicLifetime,world,constant,XX,,20
ccgt_hydrogenGas,citation,example,example,XX,,Stolten et. al:
ccgt_hydrogenGas,commodity,world,constant,XX,,electricity
compressor,physicalUnit,world,constant,XX,,GW$_{H_{2}
compressor,commodityConversionFactors,example,example,XX,hydrogen_gas_30bar,-1
compressor,commodityConversionFactors,example,example,XX,electricity,-0.02
compressor,commodityConversionFactors,example,example,XX,hydrogen_gas,0.99
compressor,investPerCapacity,example,2020,XX,,0.042
compressor,investPerCapacity,example,2030,XX,,0.042
compressor,investPerCapacity,example,2040,XX,,0.042
compressor,investPerCapacity,example,2050,XX,,0.042
compressor,opexFix,example,example,XX,,0.04
compressor,opexPerOperation,example,example,XX,,0
compressor,interestRate,example,example,XX,,0.08
compressor,economicLifetime,world,constant,XX,,15
compressor,citation,example,example,XX,,M. Reuß
compressor,commodity,world,constant,XX,,hydrogen_gas
csp_he_powerplant,physicalUnit,world,constant,XX,,GW$_{el}$
csp_he_powerplant,commodityConversionFactors,example,example,XX,heat_csp_he,-2.556
csp_he_powerplant,commodityConversionFactors,example,example,XX,electricity,1
csp_he_powerplant,investPerCapacity,example,2020,XX,,1.056
csp_he_powerplant,investPerCapacity,example,2030,XX,,1.003
csp_he_powerplant,investPerCapacity,example,2040,XX,,0.922
csp_he_powerplant,investPerCapacity,example,2050,XX,,0.833
csp_he_powerplant,opexFix,example,example,XX,,0.02
csp_he_powerplant,opexPerOperation,example,example,XX,,0
csp_he_powerplant,interestRate,example,example,XX,,0.08
csp_he_powerplant,economicLifetime,world,constant,XX,,25
csp_he_powerplant,citation,example,example,XX,,Diss Franzmann
csp_he_powerplant,commodity,world,constant,XX,,electricity
csp_he_sf,investPerCapacity,example,2020,XX,,0.341
csp_he_sf,investPerCapacity,example,2030,XX,,0.299
csp_he_sf,investPerCapacity,example,2040,XX,,0.276
csp_he_sf,investPerCapacity,example,2050,XX,,0.264
csp_he_sf,opexFix,example,example,XX,,0.02
csp_he_sf,opexPerOperation,example,example,XX,,0
csp_he_sf,interestRate,example,example,XX,,0.08
csp_he_sf,economicLifetime,world,constant,XX,,25
csp_he_sf,commodity,world,constant,XX,,electricity
csp_he_sf,remark,example,example,XX,,he means heliosol
csp_he_sf,citation,example,example,XX,,Diss Franzmann
csp_he_storage,chargeEfficiency,example,example,XX,,0.99
csp_he_storage,dischargeEfficiency,example,example,XX,,0.99
csp_he_storage,cyclicLifetime,example,example,XX,,10000
csp_he_storage,selfDischarge,example,example,XX,,0.04166
csp_he_storage,chargeRate,example,example,XX,,1
csp_he_storage,dischargeRate,example,example,XX,,1
csp_he_storage,investPerCapacity,example,2020,XX,,0.044
csp_he_storage,investPerCapacity,example,2030,XX,,0.03696
csp_he_storage,investPerCapacity,example,2040,XX,,0.034
csp_he_storage,investPerCapacity,example,2050,XX,,0.0325
csp_he_storage,opexFix,example,example,XX,,0.02
csp_he_storage,opexPerChargeOperation,example,example,XX,,0
csp_he_storage,opexPerDischargeOperation,example,example,XX,,0
csp_he_storage,interestRate,example,example,XX,,0.08
csp_he_storage,economicLifetime,world,constant,XX,,25
csp_he_storage,commodity,world,constant,XX,,electricity
csp_he_storage,citation,example,example,XX,,Diss Franzmann
csp_ss_powerplant,physicalUnit,world,constant,XX,,GW$_{el}$
csp_ss_powerplant,commodityConversionFactors,example,example,XX,heat_csp_ss,-2.342
csp_ss_powerplant,commodityConversionFactors,example,example,XX,electricity,1
csp_ss_powerplant,investPerCapacity,example,2020,XX,,1.056
csp_ss_powerplant,investPerCapacity,example,2030,XX,,1.003
csp_ss_powerplant,investPerCapacity,example,2040,XX,,0.922
csp_ss_powerplant,investPerCapacity,example,2050,XX,,0.833
csp_ss_powerplant,opexFix,example,example,XX,,0.02
csp_ss_powerplant,opexPerOperation,example,example,XX,,0
csp_ss_powerplant,interestRate,example,example,XX,,0.08
csp_ss_powerplant,economicLifetime,world,constant,XX,,25
csp_ss_powerplant,citation,example,example,XX,,Diss Franzmann
csp_ss_powerplant,commodity,world,constant,XX,,electricity
csp_ss_sf,investPerCapacity,example,2020,XX,,0.341
csp_ss_sf,investPerCapacity,example,2030,XX,,0.258
csp_ss_sf,investPerCapacity,example,2040,XX,,0.237
csp_ss_sf,investPerCapacity,example,2050,XX,,0.227
csp_ss_sf,opexFix,example,example,XX,,0.02
csp_ss_sf,opexPerOperation,example,example,XX,,0
csp_ss_sf,interestRate,example,example,XX,,0.08
csp_ss_sf,economicLifetime,world,constant,XX,,25
csp_ss_sf,commodity,world,constant,XX,,electricity
csp_ss_sf,remark,example,example,XX,,ss means solar salt
csp_ss_sf,citation,example,example,XX,,Diss Franzmann
csp_ss_storage,chargeEfficiency,example,example,XX,,0.99
csp_ss_storage,dischargeEfficiency,example,example,XX,,0.99
csp_ss_storage,cyclicLifetime,example,example,XX,,10000
csp_ss_storage,selfDischarge,example,example,XX,,0.04166
csp_ss_storage,chargeRate,example,example,XX,,1
csp_ss_storage,dischargeRate,example,example,XX,,1
csp_ss_storage,investPerCapacity,example,2020,XX,,0.044
csp_ss_storage,investPerCapacity,example,2030,XX,,0.0255
csp_ss_storage,investPerCapacity,example,2040,XX,,0.0235
csp_ss_storage,investPerCapacity,example,2050,XX,,0.0224
csp_ss_storage,opexFix,example,example,XX,,0.02
csp_ss_storage,opexPerChargeOperation,example,example,XX,,0
csp_ss_storage,opexPerDischargeOperation,example,example,XX,,0
csp_ss_storage,interestRate,example,example,XX,,0.08
csp_ss_storage,economicLifetime,world,constant,XX,,25
csp_ss_storage,commodity,world,constant,XX,,electricity
csp_ss_storage,citation,example,example,XX,,Diss Franzmann
electricity_demand,commodity,world,constant,XX,,electricity
electricity_demand,physicalUnit,world,constant,XX,,GW$_{el}$
electricity_grid_offshore,investPerCapacity,example,2020,XX,,0.0013
electricity_grid_offshore,investPerCapacity,example,2030,XX,,0.0013
electricity_grid_offshore,investPerCapacity,example,2040,XX,,0.0013
electricity_grid_offshore,investPerCapacity,example,2050,XX,,0.0013
electricity_grid_offshore,losses,example,example,XX,,3.50E-05
electricity_grid_offshore,economicLifetime,world,constant,XX,,40
electricity_grid_offshore,opexFix,example,example,XX,,0.035
electricity_grid_offshore,opexPerOperation,example,example,XX,,0
electricity_grid_offshore,interestRate,example,example,XX,,0.08
electricity_grid_offshore,commodity,world,constant,XX,,electricity
electricity_grid_offshore,citation,example,example,XX,,see excel sheets HVDC in Techno-economic params folder of FINE Unions Teams group --> https://samfzj.sharepoint.com/:x:/s/FINE.Union/ETGsmfmxNPxNhoVzhEFhQvkBfGd5-CMejdNf2vvZPGHWWQ?e=CPVvmF
electricity_grid_offshore,physicalUnit,world,constant,XX,,GW$_{el}$
electricity_grid_onshore,investPerCapacity,example,2020,XX,,0.00086
electricity_grid_onshore,investPerCapacity,example,2030,XX,,0.00086
electricity_grid_onshore,investPerCapacity,example,2040,XX,,0.00086
electricity_grid_onshore,investPerCapacity,example,2050,XX,,0.00086
electricity_grid_onshore,losses,example,example,XX,,3.50E-05
electricity_grid_onshore,economicLifetime,world,constant,XX,,40
electricity_grid_onshore,opexFix,example,example,XX,,0.035
electricity_grid_onshore,opexPerOperation,example,example,XX,,0
electricity_grid_onshore,interestRate,example,example,XX,,0.08
electricity_grid_onshore,commodity,world,constant,XX,,electricity
electricity_grid_onshore,citation,example,example,XX,,see excel sheets HVDC in Techno-economic params folder of FINE Unions Teams group --> https://samfzj.sharepoint.com/:x:/s/FINE.Union/ETGsmfmxNPxNhoVzhEFhQvkBfGd5-CMejdNf2vvZPGHWWQ?e=CPVvmF
electricity_grid_onshore,physicalUnit,world,constant,XX,,GW$_{el}$
electrolyzer_pem_compressor,physicalUnit,world,constant,XX,,GW$_{el}$
electrolyzer_pem_compressor,commodityConversionFactors,example,example,XX,electricity,-1
electrolyzer_pem_compressor,commodityConversionFactors,example,example,XX,hydrogen_gas,0.683
electrolyzer_pem_compressor,investPerCapacity,example,2020,XX,,0.8294
electrolyzer_pem_compressor,investPerCapacity,example,2030,XX,,0.5294
electrolyzer_pem_compressor,investPerCapacity,example,2040,XX,,0.4294
electrolyzer_pem_compressor,investPerCapacity,example,2050,XX,,0.3794
electrolyzer_pem_compressor,opexFix,example,example,XX,,0.03
electrolyzer_pem_compressor,opexPerOperation,example,example,XX,,0
electrolyzer_pem_compressor,economicLifetime,world,constant,XX,,10
electrolyzer_pem_compressor,interestRate,example,example,XX,,0.08
electrolyzer_pem_compressor,citation,example,example,XX,,See presentation PEM Electrolyzer + Compressor in Techno-economic params folder of FINE Unions Teams group
electrolyzer_pem_compressor,commodity,world,constant,XX,,electricity
electrolyzer_pem_NoCompressor,physicalUnit,world,constant,XX,,GW$_{el}$
electrolyzer_pem_NoCompressor,commodityConversionFactors,example,example,XX,electricity,-1
electrolyzer_pem_NoCompressor,commodityConversionFactors,example,example,XX,hydrogen_gas_30bar,0.7
electrolyzer_pem_NoCompressor,investPerCapacity,example,2020,XX,,0.8
electrolyzer_pem_NoCompressor,investPerCapacity,example,2030,XX,,0.5
electrolyzer_pem_NoCompressor,investPerCapacity,example,2040,XX,,0.4
electrolyzer_pem_NoCompressor,investPerCapacity,example,2050,XX,,0.35
